station_id,latitude,longitude,method
kmeans_0,48.67730517209172,-122.42996814760264,kmeans
kmeans_1,46.052620000000005,-118.365625,kmeans
kmeans_2,47.33601696206568,-122.17445307103756,kmeans
kmeans_3,47.79666061934338,-117.3594795100082,kmeans
kmeans_4,46.43537817361111,-122.9926405625,kmeans
kmeans_5,48.03760317333333,-120.14089928,kmeans
kmeans_6,45.7752752927928,-121.15574407657658,kmeans
kmeans_7,47.321081,-123.035227,kmeans
kmeans_8,47.73374371115682,-122.31385270202917,kmeans
kmeans_9,46.33102051734979,-119.33410685535443,kmeans
kmeans_10,46.46454262510392,-120.2758471527453,kmeans
kmeans_11,46.82819603921568,-123.8859823267974,kmeans
kmeans_12,45.76830532949351,-122.5242583720892,kmeans
kmeans_13,46.572085,-117.113515,kmeans
kmeans_14,48.58091951807229,-123.02903709337347,kmeans
kmeans_15,47.97779244106478,-121.9636714189112,kmeans
kmeans_16,47.132414100182,-122.61278975912263,kmeans
kmeans_17,48.077814856988766,-122.64584529370966,kmeans
kmeans_18,47.22951,-119.56048,kmeans
kmeans_19,47.34006407335907,-120.60597347490348,kmeans
kmeans_0,48.67730517209172,-122.42996814760264,ilp_p_median
kmeans_2,47.33601696206568,-122.17445307103756,ilp_p_median
kmeans_3,47.79666061934338,-117.3594795100082,ilp_p_median
kmeans_8,47.73374371115682,-122.31385270202917,ilp_p_median
kmeans_9,46.33102051734979,-119.33410685535443,ilp_p_median
kmeans_11,46.82819603921568,-123.8859823267974,ilp_p_median
kmeans_12,45.76830532949351,-122.5242583720892,ilp_p_median
kmeans_16,47.132414100182,-122.61278975912263,ilp_p_median
kmeans_17,48.077814856988766,-122.64584529370966,ilp_p_median
kmeans_19,47.34006407335907,-120.60597347490348,ilp_p_median
